,year_film,year_ceremony,ceremony,category,name,film,winner
5095,1973,1974,46,ACTOR IN A SUPPORTING ROLE,John Houseman,The Paper Chase,True
5096,1973,1974,46,ACTOR IN A SUPPORTING ROLE,Jason Miller,The Exorcist,False
5097,1973,1974,46,ACTOR IN A SUPPORTING ROLE,Randy Quaid,The Last Detail,False
5196,1974,1975,47,ACTOR IN A SUPPORTING ROLE,Fred Astaire,The Towering Inferno,False
5197,1974,1975,47,ACTOR IN A SUPPORTING ROLE,Jeff Bridges,Thunderbolt and Lightfoot,False
5198,1974,1975,47,ACTOR IN A SUPPORTING ROLE,Robert De Niro,The Godfather Part II,True
5199,1974,1975,47,ACTOR IN A SUPPORTING ROLE,Michael V. Gazzo,The Godfather Part II,False
5200,1974,1975,47,ACTOR IN A SUPPORTING ROLE,Lee Strasberg,The Godfather Part II,False
5303,1975,1976,48,ACTOR IN A SUPPORTING ROLE,George Burns,The Sunshine Boys,True
5304,1975,1976,48,ACTOR IN A SUPPORTING ROLE,Brad Dourif,One Flew over the Cuckoo's Nest,False
5305,1975,1976,48,ACTOR IN A SUPPORTING ROLE,Burgess Meredith,The Day of the Locust,False
5306,1975,1976,48,ACTOR IN A SUPPORTING ROLE,Chris Sarandon,Dog Day Afternoon,False
5307,1975,1976,48,ACTOR IN A SUPPORTING ROLE,Jack Warden,Shampoo,False
5410,1976,1977,49,ACTOR IN A SUPPORTING ROLE,Ned Beatty,Network,False
5411,1976,1977,49,ACTOR IN A SUPPORTING ROLE,Burgess Meredith,Rocky,False
5412,1976,1977,49,ACTOR IN A SUPPORTING ROLE,Laurence Olivier,Marathon Man,False
5413,1976,1977,49,ACTOR IN A SUPPORTING ROLE,Jason Robards,All the President's Men,True
5414,1976,1977,49,ACTOR IN A SUPPORTING ROLE,Burt Young,Rocky,False
5514,1977,1978,50,ACTOR IN A SUPPORTING ROLE,Mikhail Baryshnikov,The Turning Point,False
5515,1977,1978,50,ACTOR IN A SUPPORTING ROLE,Peter Firth,Equus,False
5516,1977,1978,50,ACTOR IN A SUPPORTING ROLE,Alec Guinness,Star Wars,False
5517,1977,1978,50,ACTOR IN A SUPPORTING ROLE,Jason Robards,Julia,True
5518,1977,1978,50,ACTOR IN A SUPPORTING ROLE,Maximilian Schell,Julia,False
5623,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Bruce Dern,Coming Home,False
5624,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Richard Farnsworth,Comes a Horseman,False
5625,1978,1979,51,ACTOR IN A SUPPORTING ROLE,John Hurt,Midnight Express,False
5626,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Christopher Walken,The Deer Hunter,True
5627,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Jack Warden,Heaven Can Wait,False
5729,1979,1980,52,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Being There,True
5730,1979,1980,52,ACTOR IN A SUPPORTING ROLE,Robert Duvall,Apocalypse Now,False
5731,1979,1980,52,ACTOR IN A SUPPORTING ROLE,Frederic Forrest,The Rose,False
5732,1979,1980,52,ACTOR IN A SUPPORTING ROLE,Justin Henry,Kramer vs. Kramer,False
5733,1979,1980,52,ACTOR IN A SUPPORTING ROLE,Mickey Rooney,The Black Stallion,False
5840,1980,1981,53,ACTOR IN A SUPPORTING ROLE,Judd Hirsch,Ordinary People,False
5841,1980,1981,53,ACTOR IN A SUPPORTING ROLE,Timothy Hutton,Ordinary People,True
5842,1980,1981,53,ACTOR IN A SUPPORTING ROLE,Michael O'Keefe,The Great Santini,False
5843,1980,1981,53,ACTOR IN A SUPPORTING ROLE,Joe Pesci,Raging Bull,False
5844,1980,1981,53,ACTOR IN A SUPPORTING ROLE,Jason Robards,Melvin and Howard,False
5938,1981,1982,54,ACTOR IN A SUPPORTING ROLE,James Coco,Only When I Laugh,False
5939,1981,1982,54,ACTOR IN A SUPPORTING ROLE,John Gielgud,Arthur,True
5940,1981,1982,54,ACTOR IN A SUPPORTING ROLE,Ian Holm,Chariots of Fire,False
5941,1981,1982,54,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Reds,False
5942,1981,1982,54,ACTOR IN A SUPPORTING ROLE,"Howard E. Rollins, Jr.",Ragtime,False
6042,1982,1983,55,ACTOR IN A SUPPORTING ROLE,Charles Durning,The Best Little Whorehouse in Texas,False
6043,1982,1983,55,ACTOR IN A SUPPORTING ROLE,"Louis Gossett, Jr.",An Officer and a Gentleman,True
6044,1982,1983,55,ACTOR IN A SUPPORTING ROLE,John Lithgow,The World According to Garp,False
6045,1982,1983,55,ACTOR IN A SUPPORTING ROLE,James Mason,The Verdict,False
6046,1982,1983,55,ACTOR IN A SUPPORTING ROLE,Robert Preston,Victor/Victoria,False
6153,1983,1984,56,ACTOR IN A SUPPORTING ROLE,Charles Durning,To Be or Not to Be,False
6154,1983,1984,56,ACTOR IN A SUPPORTING ROLE,John Lithgow,Terms of Endearment,False
6155,1983,1984,56,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Terms of Endearment,True
6156,1983,1984,56,ACTOR IN A SUPPORTING ROLE,Sam Shepard,The Right Stuff,False
6157,1983,1984,56,ACTOR IN A SUPPORTING ROLE,Rip Torn,Cross Creek,False
6257,1984,1985,57,ACTOR IN A SUPPORTING ROLE,Adolph Caesar,A Soldier's Story,False
6258,1984,1985,57,ACTOR IN A SUPPORTING ROLE,John Malkovich,Places in the Heart,False
6259,1984,1985,57,ACTOR IN A SUPPORTING ROLE,Noriyuki 'Pat' Morita,The Karate Kid,False
6260,1984,1985,57,ACTOR IN A SUPPORTING ROLE,Haing S. Ngor,The Killing Fields,True
